"  18","","","","","","","","","","",,,,,,,,,,,,
" 公　開　類","","","","","","","",""," 編製機關  勞工保險局",""," 公　開　類","","","","","","","",""," 編製機關  勞工保險局","",
" 月　　　報"," 每月終了45日內填報","","","","","","",""," 表　　號  10711-01-01",""," 月　　　報"," 每月終了45日內填報","","","","","","",""," 表　　號  10711-01-01","",
"","","","  勞工保險投保單位及人數—按類別及地區分","","","","","","","","","",""," 勞工保險投保單位及人數—按類別及地區分(續)  ˉ","","","","","","","",
"","","","","  中華民國109年 4月底","","","","",""," 單位：個、人","","","","","  中華民國109年 4月底","","","","",""," 單位：個、人",
""," 類　　別","","","","","","","","","",""," 類　　別","","","","","","","","","",
"","","","  產業勞工及交通","","","","  新聞、文化、公益","","  政府機關及公、","","","  受僱從事漁業","","  職業訓練機構","","","","","","","",
"","  總　　計","","  公用事業之員工","","  公司、行號之員工","","  及合作事業之員工","","  私立學校之員工","","","  生產之勞動者","","   接受訓練者","","  職業勞工","","  漁會之甲類會員","","  自願投保者","",
" 地　區　別","  單  位"," 人　數"," 單  位"," 人　數"," 單  位"," 人　數"," 單  位"," 人　數"," 單  位"," 人　數"," 地　區　別"," 單  位"," 人　數"," 單  位"," 人　數"," 單  位"," 人　數"," 單  位"," 人　數"," 單  位"," 人　數",
" 總　　　　　計","572431","10484046","165820","3312740","324051","3543002","14093","352372","8372","487814"," 總　　　　　計","1978","6002","211","12479","3930","2061012","39","263158","53937","445467",
" 　新　 北　 市","100086","1459437","32526","466323","56584","521928","2117","45937","745","50992"," 　新　 北　 市","276","936","23","1393","305","291749","5","26115","7505","54064",
" 　臺　 北　 市","111064","2417085","13563","377140","80636","1390897","3714","90742","968","145785"," 　臺　 北　 市","31","123","26","1242","326","310256","0","0","11800","100900",
" 　桃　 園　 市","51024","967193","17315","465936","27790","262488","940","25868","589","34332"," 　桃　 園　 市","56","152","22","2575","290","138101","2","1477","4020","36264",
" 　臺　 中　 市","90728","1253589","32094","489516","47974","397021","1562","34732","789","44915"," 　臺　 中　 市","50","138","19","1917","380","216876","1","1859","7859","66615",
" 　臺　 南　 市","40554","766772","13651","291793","20970","168843","911","20543","670","35541"," 　臺　 南　 市","42","114","11","972","325","150444","2","64234","3972","34288",
" 　高　 雄　 市","62427","1129859","16782","348773","36202","323969","1401","35674","854","39972"," 　高　 雄　 市","457","1234","20","1036","556","298809","7","28614","6148","51778",
" 　宜　 蘭　 縣","6657","154409","1773","28979","2875","24715","255","6350","239","10271"," 　宜　 蘭　 縣","475","1741","10","595","183","59747","2","16110","845","5901",
" 　新　 竹　 縣","10851","260413","3281","118152","5846","78504","292","11936","227","7760"," 　新　 竹　 縣","19","59","3","47","110","33965","0","0","1073","9990",
" 　苗　 栗　 縣","7956","155189","3085","60327","3342","28596","232","5404","299","8000"," 　苗　 栗　 縣","15","57","0","0","109","36999","2","7659","872","8147",
" 　彰　 化　 縣","29828","449667","14211","206126","12236","84417","527","17364","430","15025"," 　彰　 化　 縣","20","48","10","318","179","92786","1","15235","2214","18348",
" 　南　 投　 縣","6213","131804","1906","34883","2720","20803","245","5784","334","9597"," 　南　 投　 縣","3","12","15","429","116","48932","1","4383","873","6981",
" 　雲　 林　 縣","8021","222378","2881","69427","3285","27840","295","6437","348","13362"," 　雲　 林　 縣","51","95","4","48","175","67667","1","29242","981","8260",
" 　嘉　 義　 縣","5485","115583","2056","38382","2360","23664","181","8128","266","8569"," 　嘉　 義　 縣","34","79","2","91","67","16458","1","17158","518","3054",
" 　屏　 東　 縣","9406","209914","2546","37716","4557","34587","442","7467","445","14373"," 　屏　 東　 縣","72","218","9","332","142","84989","5","18088","1188","12144",
" 　臺　 東　 縣","3017","44595","664","4596","1395","8438","148","4455","226","6619"," 　臺　 東　 縣","71","163","9","459","62","14313","3","3147","439","2405",
" 　花　 蓮　 縣","5387","90776","1430","14093","2604","18598","190","9498","291","9454"," 　花　 蓮　 縣","46","130","10","595","110","32964","1","1690","705","3754",
" 　澎　 湖　 縣","1213","29973","319","2316","466","3221","40","728","118","3103"," 　澎　 湖　 縣","120","301","3","31","17","5008","1","14371","129","894",
" 　基　 隆　 市","5034","105687","1273","16939","2616","19285","133","4118","140","6514"," 　基　 隆　 市","76","256","3","69","168","52619","1","1830","624","4057",
" 　新　 竹　 市","10397","377548","2761","220935","5868","79868","290","7142","147","12635"," 　新　 竹　 市","32","79","6","95","145","42261","1","6476","1147","8057",
" 　嘉　 義　 市","5709","117822","1218","15404","3194","22114","139","3625","106","5471"," 　嘉　 義　 市","3","7","6","235","147","62034","0","0","896","8932",
" 　金　 門　 縣","1133","21495","383","4277","483","2950","34","405","93","4615"," 　金　 門　 縣","18","40","0","0","16","3530","1","5133","105","545",
" 　連　 江　 縣","241","2858","102","707","48","256","5","35","48","909"," 　連　 江　 縣","11","20","0","0","2","505","1","337","24","89",
" 註：本表投保單位及人數係指當月計費開單之月底生效單位及人數。","","","","","","","","","",""," 填表"," 審核","","","","  業務主管人員","","",""," 機關首長","",
"","","","","","  主辦統計人員","","","","","",
" 資料來源：  本局納保組及保費組。","","","","","","","","","","",
" 填表說明：  本表編製一式2份，1份送勞動部統計處，1份自存。","","","","","","","",""," 中華民國109年 6月12日","  編製",
